x,y,cls_num
-18.27899551,-37.3838501,3
-15.0319519,40.70938873,0
6.808459759,-26.6367321,3
6.808447361,-26.63676834,3
50.55826569,32.00426865,1
-61.30106354,-31.62391281,2
25.00600052,-53.90616989,4
10.97058296,42.56135941,0
16.56825256,30.55224609,0
28.27307129,-50.65024567,4
2.33093071,24.07111931,4
-61.98733902,-15.61946869,0
-5.725004673,-46.49424362,3
-14.86356258,6.511871815,4
30.43196106,7.875335217,1
1.233080983,60.25920105,1
-33.51436996,9.065004349,0
-34.43740463,8.22591114,0
-15.34003353,41.60779572,0
4.380661488,28.63166428,0
-24.7444725,-73.02281952,2
-63.76329803,-14.00380039,0
-29.73963165,-16.76392746,1
49.53375626,32.49412155,1
67.29176331,-9.726766586,4
50.11021805,31.97963905,1
-2.622775078,-49.57324219,2
9.275761604,54.91245651,1
9.275932312,54.91207504,1
-16.95887566,-35.18817902,3
25.71579552,-53.71325684,4
56.13074112,12.71220493,1
-8.386588097,-49.20769119,3
-9.306749344,-43.84127045,3
-2.313970089,-0.076194555,0
42.98444366,7.824596405,4
-15.59555817,40.61876678,0
-33.09304428,-25.0297699,2
70.493927,-13.87226391,4
67.15911865,-10.03983212,4
0.57900691,60.45510483,1
32.14985657,-29.29118919,4
-11.22024059,-39.19107437,3
-11.22015762,-39.19152832,3
36.70233917,17.62339592,4
47.35517883,-45.65089417,1
42.5723877,-17.42324638,1
42.57198715,-17.42238045,1
78.08842468,6.276771545,4
67.08698273,-15.27481461,4
67.08849335,-15.27484322,4
11.15027905,-34.358078,3
31.78658867,-37.94151688,1
31.73053741,-37.9792366,1
31.4591713,-38.21251678,1
49.44524002,32.85042953,1
51.09091949,31.82496643,1
0.528855801,61.00161743,1
30.39780045,29.31285095,1
30.39780045,29.31285095,1
-3.521059752,20.2494297,4
-3.585381508,20.24965096,4
8.56212616,55.07449341,1
8.562259674,55.07516479,1
8.562263489,55.07564545,1
1.30201292,60.22434998,1
47.46803284,-45.46709061,1
47.96392441,-46.11565399,1
77.78530884,10.56836796,4
77.78530884,10.56836796,4
30.28982162,-11.97129059,1
30.28973198,-11.97210789,1
30.28962135,-11.97144127,1
1.657165289,60.27021027,1
1.317877531,60.23412323,1
0.710727155,60.32237244,1
-10.89025974,4.456678391,0
18.52058792,14.77934647,0
-14.84634209,40.15631104,0
-15.67075729,41.36402893,0
30.26678276,-21.75907516,1
30.26634216,-21.75896645,1
0.818313718,-64.92621613,2
15.2261982,-16.62796021,0
15.22582054,-16.62744522,0
15.22582054,-16.62744522,0
30.26664925,-21.75889206,1
1.390089393,-53.3661232,3
1.38929534,-53.3657074,3
1.390378952,-53.36554337,3
27.77715874,44.84428406,0
-20.96152115,14.41346264,0
-20.96167374,14.41362667,0
1.317778707,60.2341156,1
1.3177706,60.2341156,1
-7.451834679,20.48075294,4
-7.451836586,20.48074913,4
-7.452706814,20.48103523,4
44.37958908,-4.617594719,4
44.37958908,-4.617594719,4
44.37958908,-4.617594719,4
28.1734314,45.01648712,0
27.78691101,44.83553696,0
-23.81908226,-72.08615112,2
-35.63874054,-6.366680145,2
-3.192278862,19.55655479,4
-3.164725304,19.58490181,4
-3.164725304,19.58490181,4
5.265850544,-26.79366875,3
5.265849113,-26.79367447,3
32.51036835,-38.19273376,1
32.48305893,-38.38231277,1
67.68453979,-9.257789612,4
67.39081573,-9.610947609,4
49.66740036,32.26675034,1
50.44240952,32.05317688,1
50.29594803,32.03977585,1
-42.97364426,-13.43518257,2
-41.18782043,-12.6107235,2
32.40763855,-11.74835014,1
32.40898895,-11.75084209,1
32.41187286,-11.75420761,1
-70.88718414,3.035507917,2
-33.00717545,9.465444565,0
-27.36658287,-6.396992683,4
-27.36662483,-6.39654541,4
1.598542094,60.87535477,1
0.881883979,60.2832489,1
37.33454132,18.1937542,4
37.73661423,17.65582466,4
56.34869003,12.22307682,1
2.286736965,-56.7069931,3
2.287484884,-56.70705795,3
6.685210705,15.14368916,4
0.716269314,3.364146709,0
10.02089977,-9.793909073,0
9.751807213,9.667126656,0
9.749968529,9.666876793,0
5.517634869,-69.35819244,1
5.517634869,-69.35819244,1
-47.93637466,22.9349041,4
15.34622955,-5.478505611,0
15.34638786,-5.478089333,0
-4.583341599,-27.32496071,3
-4.300740719,-27.51800346,3
36.96052933,-27.73386192,1
36.96031952,-27.7339859,1
-40.81510162,-21.45990562,2
-40.80287933,-21.46331596,2
-42.34365463,-55.95568085,2
-42.34002686,-56.20044708,2
-41.77614594,-55.95067978,2
-33.17024612,9.832259178,0
-33.52600479,8.302372932,0
1.238945842,-57.44266129,1
3.722234726,29.44680214,0
4.778966904,28.82888603,0
-44.45216751,-47.74437332,2
-44.43766785,-47.74578094,2
-44.43797684,-47.74580765,2
-44.43847656,-47.74622345,2
37.9576149,18.24595833,4
37.07863235,18.22353554,4
37.13923645,17.4957943,4
43.16893005,7.745544434,4
43.19689941,7.712852001,4
1.659149289,60.27645111,1
0.851458132,60.28486252,1
10.36965847,-1.691902041,0
10.60031605,-1.244180441,0
10.08171272,-1.773816586,0
23.42421722,-9.254083633,4
3.9378016,-8.564866066,0
3.93771553,-8.564650536,0
20.36160469,-17.71363449,4
42.57231903,-17.42288208,1
42.56839752,-17.41937256,1
-7.449151516,30.14325142,0
16.39312553,7.589381218,0
-42.90135956,-38.59524155,2
-42.00903702,-38.20813751,2
-12.01319218,9.287296295,4
-12.01237011,9.286909103,4
55.10139084,7.360547543,1
55.10117722,7.360584736,1
-14.95188808,40.67472458,0
-15.58934689,40.55225754,0
-44.7287674,-39.58444977,2
-44.72911835,-39.58493042,2
-44.72912979,-39.58492279,2
14.49428749,61.10638046,1
14.49436188,61.10462189,1
-41.83523178,-55.78511047,2
-41.81223297,-55.86978912,2
36.0776329,-6.054804802,1
36.07746506,-6.054802895,1
-14.9261694,40.68959427,0
-14.8343668,40.2010498,0
22.52515411,-24.87268066,1
22.52566719,-24.87516022,1
9.91245079,-1.753968954,0
