KEY_INDEX,CDL_FLAG,CONDITION_CODE,EQUIP_PROB_CODE,FAULT_FLAG,INJ_SEVER_CODE,PERSON_ID,PERSON_TYPE,REPORT_NO,SAF_EQUIP_CODE,SEX_CODE,VEHICLE_ID,COLLISION_TYPE_CODE,C_M_ZONE_FLAG,JUNCTION_CODE,LANE_CODE,LIGHT_CODE,RD_COND_CODE,RD_DIV_CODE,SURF_COND_CODE,WEATHER_CODE,AREA_DAMAGED_CODE_MAIN,BODY_TYPE_CODE,DAMAGE_CODE,HIT_AND_RUN_FLAG,MOVEMENT_CODE,TIME,AGE,LATITUDE,LONGITUDE,cluster,second_label,first_label,second_labeling
119,N,Apparently Normal,No Misuse,Y,No Injury,e451ea6c-df72-40e8-9484-dd249f35a29b,D,AC11700004,Shoulder Belt Only,F,b1a84eac-e595-49d3-8c29-10deed0bdbec,Single Vehicle ,N,Non Intersection,Right Turn Lane,Dark Lights On,No Defects,"Two-way, Divided, Positive Median Barrier",Ice,Snow,Five o'clock,Pickup Truck,Functional,N,Skidding,2015.1.26 0:00,57,39.15672435,-76.71481545,0,2,눈길사고,미끌어짐에 의한 사고
124,N,Apparently Normal,No Misuse,Y,No Injury,56a56ee4-2a40-44ac-861a-616e15bb1d6c,D,AC11800001,Shoulder/Lap Belt(s),F,6352d2d7-4718-425a-af64-9506ecb95034,Single Vehicle ,N,Non Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Snow,Snow,Twelve o'clock,Passenger Car,Functional,N,Moving Constant Speed,2015.1.6 8:09,36,39.11855993,-76.71548117,0,0,눈길사고,감속 중 사고
125,N,Apparently Normal,No Misuse,N,No Injury,fc9c466f-d464-41fb-aa19-5be35101c910,D,AC1187000G,Shoulder/Lap Belt(s),F,ccb3c4c5-d942-4016-98e1-efec8992d8e6,Same Direction Rear End,N,Non Intersection,Left Turn Lane,Daylight,No Defects,"Two-way, Divided, Positive Median Barrier",Snow,Snow,Six o'clock,(Sport) Utility Vehicle,No Damage,N,Stopped in Traffic Lane,2015.2.26 9:49,24,39.0295691,-76.5045619,0,1,눈길사고,등속 주행 사고
126,N,Apparently Normal,No Misuse,Y,No Injury,939740c8-c56e-4542-b006-48549db07bb7,D,AC1187000G,Shoulder/Lap Belt(s),M,d513e667-75db-403e-a409-5919249335b9,Same Direction Rear End,N,Non Intersection,Left Turn Lane,Daylight,No Defects,"Two-way, Divided, Positive Median Barrier",Snow,Snow,Twelve o'clock,Police Vehicle/Emergency,Superficial,N,Starting From Lane,2015.2.26 9:49,39,39.0295691,-76.5045619,0,1,눈길사고,등속 주행 사고
153,N,Apparently Normal,No Misuse,N,No Injury,9d13e258-b837-4bd7-8af4-fe9f65a6383d,D,AC13780006,Shoulder/Lap Belt(s),F,dec7fd10-1155-4f02-acdb-3e5a52de1615,Same Direction Sideswipe,N,Non Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Snow,Snow,Six o'clock,(Sport) Utility Vehicle,Superficial,N,Stopped in Traffic Lane,2015.1.6 9:13,33,39.02065491,-76.65894449,0,2,눈길사고,미끌어짐에 의한 사고
154,N,Apparently Normal,No Misuse,Y,No Injury,2f52cca5-feaf-4db0-811e-fb7bd5d0e6d8,D,AC13780006,Shoulder/Lap Belt(s),M,bb075b05-eace-46a3-84a3-f679a57518a6,Same Direction Sideswipe,N,Non Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Snow,Snow,Nine o'clock,Ambulance/Emergency,Superficial,N,Slowing or Stopping,2015.1.6 9:13,23,39.02065491,-76.65894449,0,1,눈길사고,등속 주행 사고
182,N,Apparently Normal,No Misuse,N,No Injury,d70602e7-fad3-4467-8248-e176a863950f,D,AC1492000L,Shoulder/Lap Belt(s),F,64474a36-c353-4ad5-a0a2-98658d1d659e,Same Direction Rear End Left Turn,N,Non Intersection,Acceleration Lane,Daylight,No Defects,"Two-way, Divided, Positive Median Barrier",Ice,Sleet,Six o'clock,Passenger Car,Functional,N,Moving Constant Speed,2015.2.10 7:15,53,38.98895439,-76.70533597,0,0,눈길사고,감속 중 사고
183,N,Apparently Normal,No Misuse,Y,No Injury,316c86cf-b894-4a62-8832-7a6f2bb85390,D,AC1492000L,Shoulder/Lap Belt(s),F,ce15d01d-d43c-4959-b77f-ad80a61a833c,Same Direction Rear End Left Turn,N,Non Intersection,Acceleration Lane,Daylight,No Defects,"Two-way, Divided, Positive Median Barrier",Ice,Sleet,Twelve o'clock,Passenger Car,Disabling,N,Moving Constant Speed,2015.2.10 7:15,21,38.98895439,-76.70533597,0,0,눈길사고,감속 중 사고
227,N,Apparently Normal,No Misuse,N,No Injury,8c1e6618-0494-41af-a0e0-314594f0478e,D,AC1668000N,Shoulder/Lap Belt(s),F,b80e0073-baae-4c5e-816a-284e139c164b,Same Direction Rear End,N,Non Intersection,Right Turn Lane,Daylight,Foreign Material,"Two-way, Divided, Positive Median Barrier",Snow,Snow,Twelve o'clock,(Sport) Utility Vehicle,Disabling,N,Moving Constant Speed,2015.2.26 8:05,29,39.14957386,-76.70673609,0,3,눈길사고,자차 사고
238,N,Apparently Normal,No Misuse,Y,No Injury,26789b34-cf38-4678-b869-f66f97797bff,D,AC16810009,Shoulder/Lap Belt(s),F,894d8092-655f-4e47-969f-b889f382282a,Single Vehicle ,N,Non Intersection,Right Turn Lane,Dark No Lights,No Defects,"Two-way, Not Divided",Snow,Snow,Twelve o'clock,Passenger Car,Disabling,N,Moving Constant Speed,2015.1.6 6:16,24,39.09128326,-76.4754653,0,0,눈길사고,감속 중 사고
